p_id,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20
1,toaster,bread,sandwich,cafe,coffee,starbucks,green straws,water,ice,pool,beach,wilmington,blue sky,kite,field,football,practice,stand,band,water
10,toaster,fryer,pineapple,lettuce,lechuga,sister,subway,green,izquierda,housework,subatomic,geometry,algebra,statistics,advanced,placement,college,first year,ecuador,fiance
100,toaster,toast,bread,butter,breakfast,lunch,dinner,jelly,electronic,bagel,timer,peanut butter,ding,food,milk,sandwich,apple,dog,fork,spoon
101,toaster,toast,bread,cows,udders,milk,chocolate,candy,blow jobs,penis,fun,trampoline,bounce,ball,bat,vampire,blood,sanguinary,wine,cup
102,toaster,sandwich,ham,egg,lettuce,ketchup,bread,bagel,cream cheese,cheese,lunch,bacon,milk,cookie,ice cream,coffee,chocolate,hazelnut,syrup,sweets
103,toaster,toast,butter knife,butter,crumbs,napkin,trash,plate,table,crunch crunch,crumbs,jelly,sticky,water,sponge,dry rack,cold floor,warm carpet,couch,blanket
104,toaster,bread,slice,butter,eggs,chicken,hen,cluck,rooster,farm,barn,red,paint,can,house,room,tv,clock,face,eye
105,toaster,toast,bread,baegel,jam,breakfast,peanut butter,brave,little,mars,pop,ding,hot,warm,crunchy,hard,tasty,butter,cream cheese,toaster
106,toaster,butter,food,breakfast,lunch,dinner,dish,fork,spoon,knife,cat,blood,heal,dr.,help,all,honesty,house,room,life
107,toaster,bread,spread,butter,cream,milk,egg,yellow,sunflower,seed,hamster,brown,tree,green,grass,book,wind,person,park,new york
108,toaster,bread,wheat,farm,farmer,tractor,red,barn,cows,goats,pasture,green,trees,leaves,cloud,rain,umbrella,rain boots,rubber,hose
109,toaster,bread,crunchy,power,electricity,jelly,peanut butter,brown,crust,microwave,oven,baking,cookies,chocolate chips,sweets,candy,laffy taffy,sweet tarts,poptarts,breakfast
11,toaster,bread,butter,cheese,mac and cheese,grandma,new york,summer,hot,spicy,cooking,home,dogs,cute,stuffed animals,children,energy,physics,high school,building
110,toaster,bread,jam,stove,coffee,cream,breakfast,eggs,bacon,appliances,metal,silver,clock,utensils,oven,microwave,knife,fork,spoon,bagel
111,toaster,metal,element,chemistry,school,food,hunger,sandwich,ham,cheese,cows,animals,dogs,wolves,pets,zoo,adventure,outdoors,mountains,rivers
112,toaster,bread,milk,cow,udder,pink,glass,chandelier,glass,level,bread,pen,nail,hammer,metal,mineral,dirt,soil,antonym,teacher
113,toaster,pop,sharp,crackle,bacon,eggs,runny,sunny,beautiful,spring,green,flowers,bloom,chirp,birds,tweet,twitter,social,media,papers
114,toaster,toast,breakfast,brown,crunchy,butter,jam,oven,plate,knife,bacon,eggs,sausage,orange,juice,fruit,yogurt,peanut butter,crust,complimentary
115,toaster,bread,butter,straw,drink,smoothie,strawberry,orange,calcium,milk,bones,lady,stick figure,draw,pencil,pad,shoulder,arm,lift,gym
116,toaster,toast,bread,burnt,smoke,fire,kindling,campfire,camping,tent,woods,night,moon,stars,sky,clouds,water,air,rain,cycle
117,toaster,oven,breakfast,strawberries,waffles,bread,butter,toast,butterbread,burnt,black,dark brown,crust,jam,nutella,fruits,honey,poptarts,blue,yellow
118,toaster,bread,butter,toast,breakfast,knife,egg,cheese,hashbrowns,oven,microwave,fridge,spoon,fork,ice cream,chocolate,vanilla,core,jelly,whip cream
119,toaster,bread,butter,oven,strudel,easy bake oven,breakfast,eggs,milk,burnt,electricity,hot,kitchen,cooking,bagel,crust,red,stainless steel,cord,granite
